Ticker,Company,Country,Sector,MappingConfidence,SourceFund,SourceURL,SourceAsOf
5110.SR,SAUDI ENERGY,Saudi Arabia,Utilities,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
8010.SR,THE COOPERATIVE INSURANCE,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1303.SR,ELECTRICAL INDUSTRIES,Saudi Arabia,Industrials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4300.SR,DAR AL ARKAN REAL ESTATE DEVELOPME,Saudi Arabia,Real Estate,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4190.SR,JARIR MARKETING,Saudi Arabia,Consumer Discretionary,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1030.SR,SAUDI INVESTMENT BANK,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4250.SR,JABAL OMAR DEVELOPMENT,Saudi Arabia,Consumer Discretionary,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1020.SR,BANK ALJAZIRA,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2290.SR,YANBU NATIONAL PETROCHEMICALS,Saudi Arabia,Materials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1111.SR,SAUDI TADAWUL GROUP CO,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4002.SR,AL MOUWASAT MEDICAL SERVICES,Saudi Arabia,Health Care,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4100.SR,MAKKAH CONSTRUCTION AND DEVELOPMEN,Saudi Arabia,Real Estate,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4200.SR,ALDREES PETROLEUM AND TRANSPORT SE,Saudi Arabia,Consumer Discretionary,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1212.SR,ASTRA INDUSTRIAL GROUP,Saudi Arabia,Industrials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2310.SR,SAHARA INTERNATIONAL PETROCHEMICAL,Saudi Arabia,Materials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2382.SR,ADES HOLDING CO,Saudi Arabia,Energy,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4263.SR,SAL SAUDI LOGISTICS SERVICE CO,Saudi Arabia,Industrials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
7030.SR,MOBILE TELECOMMUNICATIONS,Saudi Arabia,Communication Services,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2250.SR,SAUDI INDUSTRIAL INVESTMENT GROUP,Saudi Arabia,Materials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
7202.SR,ARABIAN INTERNET AND COMMUNICATION,Saudi Arabia,Information Technology,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4004.SR,DALLAH HEALTHCARE,Saudi Arabia,Health Care,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1810.SR,SEERA GROUP HOLDING,Saudi Arabia,Consumer Discretionary,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4003.SR,UNITED ELECTRONICS,Saudi Arabia,Consumer Discretionary,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2270.SR,SAUDI DAIRY AND FOODSTUFF,Saudi Arabia,Consumer Staples,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
8313.SR,RASAN INFORMATION TECHNOLOGY,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
8230.SR,AL RAJHI COMPANY FOR COOPERATIVE I,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2350.SR,SAUDI KAYAN PETROCHEMICAL,Saudi Arabia,Materials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
3020.SR,YAMAMA SAUDI CEMENT,Saudi Arabia,Materials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
8200.SR,SAUDI REINSURANCE,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2230.SR,SAUDI CHEMICAL,Saudi Arabia,Health Care,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4005.SR,NATIONAL MEDICAL CARE,Saudi Arabia,Health Care,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4321.SR,ARABIAN CENTRES COMPANY,Saudi Arabia,Real Estate,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4210.SR,SAUDI RESEARCH AND MEDIA GROUP,Saudi Arabia,Communication Services,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4031.SR,SAUDI GROUND SERVICES,Saudi Arabia,Industrials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4090.SR,TAIBA INVESTMENTS,Saudi Arabia,Real Estate,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4015.SR,JAMJOOM PHARMA,Saudi Arabia,Health Care,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
6004.SR,CATRION CATERING HOLDING CO,Saudi Arabia,Industrials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2080.SR,NATURAL GAS AND INDUSTRIALIZATION,Saudi Arabia,Utilities,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2050.SR,SAVOLA GROUP,Saudi Arabia,Consumer Staples,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
